"up"	"dbcode"	"pdbct"	"phmin"	"phmax"	"nonpolyct"	"phrange"	"name"
"http://purl.uniprot.org/uniprot/A0A011"	"A0A011_9ACTO"	5	6	6	7	0	NA
"http://purl.uniprot.org/uniprot/A0A023GUP0"	"A0A023GUP0_9ACTO"	2	NA	NA	1	NA	NA
"http://purl.uniprot.org/uniprot/A0A024E3Q2"	"A0A024E3Q2_9INFA"	5	6	6	7	0	"Neuraminidase"
"http://purl.uniprot.org/uniprot/A0A024RAV5"	"A0A024RAV5_HUMAN"	3	NA	NA	5	NA	NA
"http://purl.uniprot.org/uniprot/A0A059TFW7"	"A0A059TFW7_LITVA"	2	NA	NA	0	NA	NA
"http://purl.uniprot.org/uniprot/A0A081YAY5"	"A0A081YAY5_9PSED"	3	7	8	11	1	NA
"http://purl.uniprot.org/uniprot/A0A087WNH4"	"A0A087WNH4_RABIT"	3	NA	NA	4	NA	NA
"http://purl.uniprot.org/uniprot/A0A088T0J9"	"A0A088T0J9_GEOCN"	5	5.9	5.9	9	0	"Glucanase"
"http://purl.uniprot.org/uniprot/A0A097H118"	"A0A097H118_SOLTU"	4	3.5	7.4	2	3.9	NA
"http://purl.uniprot.org/uniprot/A0A0B5GUS3"	"A0A0B5GUS3_FASHE"	2	8.5	8.5	3	0	NA
"http://purl.uniprot.org/uniprot/A0A0E3W010"	"A0A0E3W010_9CYAN"	2	5	8.5	4	3.5	NA
"http://purl.uniprot.org/uniprot/A0A0E4G455"	"A0A0E4G455_9CYAN"	2	5	8.5	4	3.5	NA
"http://purl.uniprot.org/uniprot/A0A0H2YNR7"	"A0A0H2YNR7_CLOP1"	5	NA	NA	7	NA	NA
"http://purl.uniprot.org/uniprot/A0A0H2YQR1"	"A0A0H2YQR1_CLOP1"	2	4.5	4.5	5	0	NA
"http://purl.uniprot.org/uniprot/A0A5A3"	"A0A5A3_HUMAN"	2	8.5	9	4	0.5	NA
"http://purl.uniprot.org/uniprot/A0A5B9"	"TRBC2_HUMAN"	5	7.4	9	7	1.6	"T-cell receptor beta-2 chain C region"
"http://purl.uniprot.org/uniprot/A0AED4"	"A0AED4_HUMAN"	4	6.5	8.5	5	2	NA
"http://purl.uniprot.org/uniprot/A0AEF5"	"A0AEF5_RUMFL"	2	8.5	8.5	4	0	NA
"http://purl.uniprot.org/uniprot/A0AEF6"	"A0AEF6_RUMFL"	2	8.5	8.5	4	0	NA
"http://purl.uniprot.org/uniprot/A0F7J4"	"A0F7J4_9HIV1"	2	5.4	5.5	4	0.0999999999999996	NA
"http://purl.uniprot.org/uniprot/A0FCI1"	"A0FCI1_9INFA"	4	NA	NA	4	NA	NA
"http://purl.uniprot.org/uniprot/A0FGR8"	"ESYT2_HUMAN"	2	4.9	8	5	3.1	"Extended synaptotagmin-2"
"http://purl.uniprot.org/uniprot/A0JP82"	"A0JP82_XENTR"	2	7.5	7.5	3	0	NA
"http://purl.uniprot.org/uniprot/A0K1X3"	"A0K1X3_ARTS2"	2	6.5	6.5	5	0	NA
"http://purl.uniprot.org/uniprot/A0KF03"	"A0KF03_AERHH"	2	6.8	7.5	3	0.7	NA
"http://purl.uniprot.org/uniprot/A0L5S6"	"A0L5S6_MAGSM"	3	5.6	8	4	2.4	NA
"http://purl.uniprot.org/uniprot/A0LU48"	"A0LU48_ACIC1"	2	7.2	7.2	3	0	"Depupylase"
"http://purl.uniprot.org/uniprot/A0NLY7"	"A0NLY7_9RHOB"	2	6.5	7	5	0.5	NA
"http://purl.uniprot.org/uniprot/A0PFK5"	"A0PFK5_PIG"	2	NA	NA	2	NA	NA
"http://purl.uniprot.org/uniprot/A0PKT3"	"A0PKT3_MYCUA"	2	7	7	6	0	NA
"http://purl.uniprot.org/uniprot/A0Q0N1"	"A0Q0N1_CLONN"	2	6.6	6.6	4	0	NA
"http://purl.uniprot.org/uniprot/A0Q7H2"	"A0Q7H2_FRATN"	2	NA	NA	3	NA	NA
"http://purl.uniprot.org/uniprot/A0Q7H7"	"A0Q7H7_FRATN"	2	8	8	5	0	NA
"http://purl.uniprot.org/uniprot/A0QLU8"	"A0QLU8_MYCA1"	2	7	7	5	0	"Acetate kinase"
"http://purl.uniprot.org/uniprot/A0QND6"	"A0QND6_MYCS2"	2	7.5	8.5	2	1	"DNA polymerase III subunit beta"
"http://purl.uniprot.org/uniprot/A0QNL1"	"A0QNL1_MYCS2"	4	5.5	7.5	2	2	"Mycosin-1"
"http://purl.uniprot.org/uniprot/A0QQ45"	"A0QQ45_MYCS2"	2	6	8.5	1	2.5	"ESX-3 secretion-associated protein EspG3"
"http://purl.uniprot.org/uniprot/A0QQG1"	"A0QQG1_MYCS2"	2	7.5	7.5	3	0	NA
"http://purl.uniprot.org/uniprot/A0QRC4"	"A0QRC4_MYCS2"	2	NA	NA	4	NA	NA
"http://purl.uniprot.org/uniprot/A0QS86"	"A0QS86_MYCS2"	2	0	8.5	2	8.5	NA
"http://purl.uniprot.org/uniprot/A0QTN8"	"A0QTN8_MYCS2"	3	6	7	3	1	NA
"http://purl.uniprot.org/uniprot/A0QTQ6"	"A0QTQ6_MYCSM"	3	6.5	8.5	8	2	NA
"http://purl.uniprot.org/uniprot/A0QV09"	"Y2407_MYCS2"	2	5.1	7.6	2	2.5	"Uncharacterized oxidoreductase MSMEG_2407/MSMEI_2346"
"http://purl.uniprot.org/uniprot/A0QWG6"	"PIMA_MYCS2"	2	7.5	8	3	0.5	"Phosphatidyl-myo-inositol mannosyltransferase"
"http://purl.uniprot.org/uniprot/A0QWG6"	"A0QWG6_MYCS2"	2	7.5	7.5	3	0	"Phosphatidyl-myo-inositol mannosyltransferase"
"http://purl.uniprot.org/uniprot/A0QXB7"	"A0QXB7_MYCS2"	5	6.5	6.5	4	0	NA
"http://purl.uniprot.org/uniprot/A0QY29"	"A0QY29_MYCS2"	2	5.6	5.6	4	0	NA
"http://purl.uniprot.org/uniprot/A0QYH7"	"A0QYH7_MYCS2"	3	7	7.5	4	0.5	NA
